Week,Site,In-Flow Rate (GPM),Residence Time (Days)
5/14/2018,Coldwater Creek ,560.63,6.6
4/6/2018,Coldwater Creek ,576.42,4.25
5/2/2018,Coldwater Creek ,622,3.75
3/21/2019,Coldwater Creek ,639.04,3.5
4/27/2018,Coldwater Creek ,685.99,3.65
10/23/2018,Coldwater Creek ,686.01,8.5
4/4/2019,Coldwater Creek ,697.14,3.25
10/15/2018,Coldwater Creek ,735.56,8.25
11/13/2018,Coldwater Creek ,736.38,8.25
10/9/2018,Coldwater Creek ,746.39,8.25
4/12/2018,Coldwater Creek ,776,3.45
4/20/2018,Coldwater Creek ,788.24,3.4
3/28/2019,Coldwater Creek ,792.1,3
11/6/2018,Coldwater Creek ,812.36,7.45
5/21/2018,Coldwater Creek ,855.15,5.6
10/30/2018,Coldwater Creek ,889.02,7.3
10/19/2017,Coldwater Creek ,937.91,6.25
5/15/2019,Coldwater Creek ,960,5
5/8/2019,Coldwater Creek ,984.83,5
5/1/2019,Coldwater Creek ,1004.64,2.5
9/25/2018,Coldwater Creek ,1029.54,6.75
6/5/2019,Coldwater Creek ,1060,5
9/17/2018,Coldwater Creek ,1098.16,6.625
9/11/2018,Coldwater Creek ,1099.57,6.625
5/22/2019,Coldwater Creek ,1100.79,4.9
5/29/2019,Coldwater Creek ,1112.52,4.7
10/22/2019,Coldwater Creek ,1132,4.25
10/1/2018,Coldwater Creek ,1135.35,6
7/24/2019,Coldwater Creek ,1213.17,5.35
4/18/2019,Coldwater Creek ,1268.67,2.5
5/29/2018,Coldwater Creek ,1281.01,4
10/15/2019,Coldwater Creek ,1290,4
4/25/2019,Coldwater Creek ,1295.96,2.5
6/4/2018,Coldwater Creek ,1296,4
4/11/2019,Coldwater Creek ,1297.55,2.5
7/3/2019,Coldwater Creek ,1378,3.75
11/22/2017,Coldwater Creek ,1438.63,4.6125
11/16/2017,Coldwater Creek ,1477.79,4.5
11/2/2017,Coldwater Creek ,1498.2,4
10/5/2017,Coldwater Creek ,1500,4.25
6/11/2018,Coldwater Creek ,1509.57,3.125
10/26/2018,Coldwater Creek ,1530.9,4
6/18/2018,Coldwater Creek ,1548.01,3
6/25/2018,Coldwater Creek ,1564.74,3
7/2/2018,Coldwater Creek ,1565.01,3
8/20/2018,Coldwater Creek ,1985.65,3.25
8/27/2018,Coldwater Creek ,2000,3.25
7/10/2019,Coldwater Creek ,2205.07,2.25
9/28/2017,Coldwater Creek ,2224.99,2.25
8/6/2018,Coldwater Creek ,2437.38,2.15
9/24/2019,Coldwater Creek ,2475,2
8/14/2019,Coldwater Creek ,2476.22,2
7/29/2019,Coldwater Creek ,2500,2
8/27/2019,Coldwater Creek ,2500.83,2
8/20/2019,Coldwater Creek ,2507.3,2
8/13/2018,Coldwater Creek ,2530.19,2
6/26/2019,Coldwater Creek ,2551.77,2
9/3/2019,Coldwater Creek ,2581.49,2
10/8/2019,Coldwater Creek ,2630,1.75
9/17/2019,Coldwater Creek ,2645,1.75
8/7/2019,Coldwater Creek ,2677,1.8
9/10/2019,Coldwater Creek ,2770,1.75
10/1/2019,Coldwater Creek ,2770,1.75
9/14/2017,Coldwater Creek ,2820,2
7/23/2018,Coldwater Creek ,2962.52,1.75
7/9/2018,Coldwater Creek ,3028,1.5
7/30/2018,Coldwater Creek ,3039.39,2
6/19/2019,Coldwater Creek ,3059.1,1.5
7/16/2018,Coldwater Creek ,3090.5,1.5
11/9/2017,Coldwater Creek ,,4.125
5/7/2018,Coldwater Creek ,,6.25
9/3/2018,Coldwater Creek ,,4.25
