Date,Season,Site,Total Phosphorus - P
6/16/17,Summer,Coldwater Creek,0.29
6/16/17,Summer,Coldwater Creek Wetland Outflow,0.12
6/30/17,Summer,Coldwater Creek,1.96
6/30/17,Summer,Coldwater Creek Wetland Outflow,0.07
7/14/17,Summer,Coldwater Creek,0.22
7/14/17,Summer,Coldwater Creek Wetland Outflow,0.07
7/28/17,Summer,Coldwater Creek,0.35
7/28/17,Summer,Coldwater Creek Wetland Outflow,0.06
8/4/17,Summer,Coldwater Creek,0.48
8/4/17,Summer,Coldwater Creek Wetland Outflow,0.07
8/11/17,Summer,Coldwater Creek,0.45
8/11/17,Summer,Coldwater Creek Wetland Outflow,0.06
8/18/17,Summer,Coldwater Creek,0.41
8/18/17,Summer,Coldwater Creek Wetland Outflow,0.08
8/25/17,Summer,Coldwater Creek,0.4
8/25/17,Summer,Coldwater Creek Wetland Outflow,0.1
8/31/17,Summer,Coldwater Creek,0.41
8/31/17,Summer,Coldwater Creek Wetland Outflow,0.16
9/7/17,Fall,Coldwater Creek,0.42
9/7/17,Fall,Coldwater Creek Wetland Outflow,0.22
9/14/17,Fall,Coldwater Creek,0.37
9/14/17,Fall,Coldwater Creek Wetland Outflow,0.37
9/21/17,Fall,Coldwater Creek,0.33
9/21/17,Fall,Coldwater Creek Wetland Outflow,0.49
9/28/17,Fall,Coldwater Creek,0.45
9/28/17,Fall,Coldwater Creek Wetland Outflow,0.37
10/5/17,Fall,Coldwater Creek,0.32
10/5/17,Fall,Coldwater Creek Wetland Outflow,0.18
10/12/17,Fall,Coldwater Creek,0.33
10/12/17,Fall,Coldwater Creek Wetland Outflow,0.19
10/19/17,Fall,Coldwater Creek,0.29
10/19/17,Fall,Coldwater Creek Wetland Outflow,0.13
10/26/17,Fall,Coldwater Creek,0.31
10/26/17,Fall,Coldwater Creek Wetland Outflow,0.19
11/9/17,Fall,Coldwater Creek,0.42
11/9/17,Fall,Coldwater Creek Wetland Outflow,0.14
11/16/17,Fall,Coldwater Creek,0.19
11/16/17,Fall,Coldwater Creek Wetland Outflow,0.15
