Week,Site,Flow Rate (GPM),Stop Log Height (Inches), Residence Time (Days),Date,Inflow NO3-N,Inflow TP (PO4 3-),Inflow DRP (PO4 3-),Inflow TSS (mg/L),Outflow NO3-N,Outflow TP (PO4 3-),Outflow DRP (PO4 3-),Outflow TSS (mg/L)
1/25/18,Coldwater Creek ,0,0,,1/25/18,2.97,0.26,0.001,5.2, , , , 
2/2/18,Coldwater Creek ,0,0,,2/2/18,8.51,0.302,0.068,9.6, , , , 
2/15/18,Coldwater Creek ,0,0,,2/15/18,1.65,0.018,0.28,7.6, , , , 
2/23/18,Coldwater Creek ,0,0,,2/23/18,14.7,1.2,0.68,12.8, , , , 
3/2/18,Coldwater Creek ,0,0,,3/2/18,11.1,2.62,1.08,190.8, , , , 
3/9/18,Coldwater Creek ,0,0,,3/9/18,13.5,0.405,0.328,4, , , , 
3/15/18,Coldwater Creek ,0,0,,3/15/18,8.81,0.299,0.114,10, , , , 
3/23/18,Coldwater Creek ,0,0,,3/23/18,8.81,0.299,0.114,10, , , , 
3/30/18,Coldwater Creek ,0,0,,3/30/18,11,2.79,1.13,137.2, , , , 
4/6/18,Coldwater Creek ,576.42,7,4.25,4/6/18,11,1.12,0.52,44.8,0.399,0.575,0.001,19.6
4/12/18,Coldwater Creek ,776,7,3.45,4/12/18,12.9,0.61,0.336,32.8,7.61,0.34,0.014,19.2
4/20/18,Coldwater Creek ,788.24,7,3.4,4/20/18,15.3,0.512,0.295,16.4,9.85,0.379,0.009,20
4/27/18,Coldwater Creek ,685.99,7,3.65,4/27/18,12,0.395,0.147,175.6,8.91,0.228,0.44,37.6
5/2/18,Coldwater Creek ,622,7,3.75,5/2/18,9.64,0.454,0.029,11.2,7.71,0.185,0.042,11.2
5/7/18,Coldwater Creek ,600,21,6.25,5/7/18,7.11,0.324,0.013,12,4.92,0.223,0.029,20.4
5/14/18,Coldwater Creek ,560.63,21,6.6,5/14/18,3.16,0.57,0.058,43.6,0.93,0.38,0.033,29.2
5/21/18,Coldwater Creek ,855.15,21,5.6,5/21/18,1.4,0.465,0.166,14.8,0.279,0.668,0.043,26.8
5/29/18,Coldwater Creek ,1281.01,21,4,5/29/18,8.1,1.02,0.243,45.6,0.236,0.45,0.163,5.6
6/4/18,Coldwater Creek ,1296.86,21,4,6/4/18,3.68,0.881,0.178,35.2,0.629,0.351,0.079,19.6
6/13/18,Coldwater Creek ,1509.57,21,3.125,6/11/18,25.3,1.07,0.757,62,0.297,0.233,0.356,13.6
6/18/18,Coldwater Creek ,1548.01,21,3,6/18/18,4.34,0.813,0.161,22.8,2.55,0.257,0.001,9.2
6/25/18,Coldwater Creek ,1564.74,21,3,6/25/18,16.2,1.08,0.723,20.4,5.21,0.278,0.074,7.6
7/2/18,Coldwater Creek ,1565.01,21,3,7/2/18,2.51,0.939,0.262,45.2,1.95,0.226,0.038,28
7/9/18,Coldwater Creek ,3028.12,21,1.5,7/9/18,0.183,1.18,0.369,35.2,0.235,0.607,0.268,11.6
7/16/18,Coldwater Creek ,3090.5,21,1.5,7/16/18,0.186,1.55,0.532,32.4,0.202,1.11,0.552,5.2
7/23/18,Coldwater Creek ,2962.52,26,1.75,7/23/18,0.786,1.35,0.473,29.6,0.19,0.871,0.527,4.4
7/30/18,Coldwater Creek ,3039.39,26,2,7/30/18,0.169,0.848,0.488,39.2,0.137,0.68,0.634,5.6
8/6/18,Coldwater Creek ,2437.38,26,2.15,8/6/18,0.158,1.55,0.731,48.4,0.182,0.878,0.634,0
8/13/18,Coldwater Creek ,2530.19,26,2,8/13/18,0.174,1.41,0.533,37.6,0.175,1.19,0.792,13.6
8/20/18,Coldwater Creek ,1985.65,33,3.25,8/20/18,0.426,0.444,0.832,5.6,0.197,0.39,0.264,40.4
8/27/18,Coldwater Creek ,2000,33,3.25,8/27/18,1.37,1.26,0.653,25.2,0.26,0.989,0.652,6
9/3/18,Coldwater Creek ,1601.93,33,4.25,9/3/18,0.154,1.31,0.452,31.6,0.227,0.87,0.58,4.8
9/11/18,Coldwater Creek ,1099.57,33,6.625,9/11/18,13.4,1.85,1.22,480,0.14,0.77,0.442,1.6
9/17/18,Coldwater Creek ,1098.16,33,6.625,9/17/18,2.56,1.09,0.188,44.4,0.214,0.728,0.46,2.8
9/25/18,Coldwater Creek ,1029.54,33,6.75,9/25/18,1.5,0.914,0.329,34.4,0.252,0.546,0.237,4.8
10/1/18,Coldwater Creek ,1135.35,33,6,10/1/18,7.5,0.686,0.167,29.6,1.51,0.291,0.088,5.6
10/9/18,Coldwater Creek ,746.39,33,8.25,10/9/18,12.9,0.94,0.293,39.2,0.855,0.394,0.152,0
10/15/18,Coldwater Creek ,735.56,33,8.25,10/18/18,2.28,0.803,0.001,39.6,5.04,0.175,0.001,6
